#,claim_status,video_id,video_duration_sec,video_transcription_text,verified_status,author_ban_status,video_view_count,video_like_count,video_share_count,video_download_count,video_comment_count
1,claim,1591707237,59,someone shared with me that the number of businesses is declining.,not verified,active,117468.0,43089.0,6652.0,1703.0,86.0
2,opinion,9896589877,27,i heard that american industrial output has tripled.,not verified,active,192.0,38.0,7.0,3.0,0.0
3,opinion,3128923656,49,someone shared with me that the number of businesses is declining.,not verified,active,25709.0,4834.0,1140.0,515.0,59.0
4,opinion,2447709321,7,research shows that there are more microbes than stars.,not verified,active,67902.0,15430.0,2824.0,1224.0,132.0
5,claim,3329963735,26,i heard that the number of businesses is declining.,not verified,active,110770.0,38056.0,5874.0,2560.0,172.0
6,claim,6620645422,52,studies indicate that the metro of st. petersburg is deepest.,not verified,active,22190.0,6292.0,1102.0,252.0,19.0
7,claim,2399624117,21,someone shared with me that the metro of st. petersburg is deepest.,not verified,under review,280112.0,94568.0,23233.0,9260.0,619.0
8,opinion,3425105533,28,someone shared with me that the metro of st. petersburg is deepest.,not verified,active,43417.0,10092.0,2293.0,243.0,104.0
9,opinion,9002532219,49,i heard that there are more microbes than stars.,not verified,active,11253.0,2581.0,493.0,121.0,17.0
10,opinion,5037676710,16,someone shared with me that the metro of st. petersburg is deepest.,not verified,active,57119.0,10874.0,1706.0,631.0,87.0
11,claim,2736393164,26,i heard that the metro of st. petersburg is deepest.,not verified,under review,504877.0,162968.0,45092.0,8472.0,1210.0
12,opinion,2476774596,38,studies indicate that american industrial output has tripled.,verified,active,76602.0,14036.0,3140.0,646.0,93.0
13,opinion,5900094324,46,research shows that the number of businesses is declining.,not verified,active,100459.0,19245.0,3729.0,1374.0,73.0
14,claim,5126542760,55,a friend told me that the metro of st. petersburg is deepest.,not verified,active,32545.0,9309.0,2705.0,867.0,20.0
15,claim,1893903022,56,research shows that drone deliveries are becoming more common.,not verified,active,2782.0,881.0,203.0,73.0,4.0
16,claim,9802003007,49,a friend told me that there are more microbes than stars.,not verified,banned,353680.0,108861.0,24754.0,8192.0,1043.0
17,claim,4180106291,41,a friend told me that the metro of st. petersburg is deepest.,not verified,active,31482.0,9199.0,2132.0,1023.0,21.0
18,opinion,8070627895,39,someone shared with me that the metro of st. petersburg is deepest.,not verified,active,4964.0,1177.0,132.0,64.0,9.0
19,claim,8035177028,7,research shows that american industrial output has tripled.,not verified,active,20109.0,6064.0,1538.0,318.0,32.0
20,claim,6854728258,51,i heard that the metro of st. petersburg is deepest.,not verified,active,17170.0,4842.0,725.0,256.0,44.0
21,opinion,3469099910,33,studies indicate that there are more microbes than stars.,not verified,active,64797.0,12538.0,2464.0,801.0,25.0
22,claim,5859850767,9,research shows that drone deliveries are becoming more common.,not verified,banned,690994.0,228798.0,49806.0,6016.0,370.0
23,claim,1664457627,50,a friend told me that american industrial output has tripled.,not verified,active,44221.0,16171.0,2578.0,397.0,92.0
24,claim,7568530809,41,i heard that the metro of st. petersburg is deepest.,not verified,active,34767.0,12501.0,2256.0,572.0,69.0
25,claim,1778637277,33,a friend told me that there are more microbes than stars.,not verified,active,64414.0,24334.0,3110.0,710.0,67.0
26,opinion,1105157130,40,a friend told me that american industrial output has tripled.,not verified,active,63301.0,11826.0,2143.0,475.0,81.0
27,claim,7991306416,15,research shows that drone deliveries are becoming more common.,not verified,active,29782.0,9830.0,2024.0,353.0,30.0
28,opinion,3999589377,16,studies indicate that american industrial output has tripled.,not verified,active,7253.0,1645.0,275.0,135.0,7.0
29,opinion,4479542019,6,studies indicate that there are more microbes than stars.,not verified,active,26202.0,6589.0,964.0,434.0,69.0
30,claim,5020817333,37,research shows that drone deliveries are becoming more common.,not verified,under review,29618.0,8837.0,1828.0,220.0,44.0
31,opinion,7308681043,24,research shows that the metro of st. petersburg is deepest.,not verified,active,159902.0,32176.0,6056.0,3022.0,68.0
32,claim,2713784236,57,studies indicate that the number of businesses is declining.,not verified,under review,523575.0,190060.0,33176.0,3676.0,1502.0
33,claim,9026818344,59,i heard that there are more microbes than stars.,not verified,banned,344750.0,111417.0,18066.0,2459.0,164.0
34,opinion,3367441090,45,i heard that american industrial output has tripled.,not verified,active,1401.0,275.0,56.0,20.0,2.0
35,opinion,5944993130,48,i heard that the number of businesses is declining.,not verified,active,23472.0,5109.0,1084.0,180.0,52.0
36,opinion,7453323834,21,a friend told me that drone deliveries are becoming more common.,not verified,active,112735.0,28719.0,3125.0,506.0,62.0
37,claim,3792409690,9,a friend told me that drone deliveries are becoming more common.,not verified,active,16985.0,6163.0,1329.0,227.0,7.0
38,claim,4975908930,16,someone shared with me that american industrial output has tripled.,not verified,banned,647329.0,238958.0,40792.0,20358.0,866.0
39,opinion,8807325754,17,research shows that the metro of st. petersburg is deepest.,not verified,active,10163.0,2193.0,286.0,84.0,8.0
40,claim,2470786436,18,research shows that american industrial output has tripled.,not verified,active,87195.0,32362.0,4426.0,1407.0,151.0
41,claim,6715995994,31,research shows that there are more microbes than stars.,not verified,active,111234.0,36567.0,9199.0,3318.0,148.0
42,claim,3614790491,22,a friend told me that the number of businesses is declining.,not verified,banned,19329.0,5889.0,1562.0,696.0,12.0
43,claim,3604180710,34,research shows that american industrial output has tripled.,not verified,active,48877.0,16377.0,2009.0,562.0,19.0
44,opinion,1333324968,10,studies indicate that there are more microbes than stars.,not verified,active,23786.0,5218.0,1109.0,260.0,23.0
45,claim,6269147641,6,a friend told me that american industrial output has tripled.,not verified,active,61395.0,17696.0,2941.0,294.0,94.0
46,opinion,9870942997,37,someone shared with me that the number of businesses is declining.,not verified,active,32549.0,7307.0,1397.0,200.0,57.0
47,claim,8939730897,17,someone shared with me that drone deliveries are becoming more common.,not verified,active,68420.0,24338.0,5686.0,1805.0,115.0
